!sil	▁ J
technologist	▁L lw A a x f v tHL
technologists	▁L lw A a x f v tHL H
technology	▁L lw A a x f v u
technology's	▁L lw A a x f v uS
techy	▁L lw u
ted	▁L lj
ted's	▁L lj S
teddy	▁L lj u
tedious	▁Lu ju fH
tediously	▁Lu ju fH xu
tee	▁Lu
tee-	▁Lu
teeing	▁Lu tB
teen	▁L uA
teena-	▁L uA p
teenage	▁L uA p v
teenaged	▁L uA p v j
teenagehood	▁L uA p v s Nj
teenager	▁L uA p v o
teenagers	▁L uA p v oS
teens	▁L uA S
teeny	▁L uA u
tees	▁L uS
teetering	▁Lu L fG tB
teeth	▁Lu M
teething	▁Lu k tB
teflon	▁L l q x aA
tehran	▁L pG aA
tek-	▁L lw
tektronix	▁L lwL G aA twH
tel-	▁L lx
tela-	▁L lx b
tele-	▁L lx f
telecom	▁L lx f w a z
telecommunication	▁L lx f w fz RO A tw pItA
telecommunications	▁L lx f w fz RO A tw pItA S
teleconferencing	▁L lx f w aA q G tAH tB
telecreder	▁L lx tw G lj fG
telegram	▁L lx f r G b z
telegrams	▁L lx f r G b zS
telegraph	▁L lx f r G b q
telemarketeers	▁L lx fz aG w tL oS
telemarketers	▁L lx fz aG w tL oS
telemarketing	▁L lx fz aG w tL tB
telepho-	▁L lx f q D
telephone	▁L lx f q D A
telephones	▁L lx f q D A S
telescope	▁L lx fH w D F
telethon	▁L lx f M aA
telethons	▁L lx f M aA S
telev-	▁L lx f P
televise	▁L lx f P gS
televised	▁L lx f P gS j
television	▁L lx f P t T tA
television's	▁L lx f P t T tA S
televisions	▁L lx f P t T tA S
tell	▁L lx
tell-	▁L lx
teller	▁L lx o
tellers	▁L lx oS
telling	▁L lx tB
tells	▁L lx S
telluride	▁L lx R fG gj
telstar	▁L lx HL aG
temp	▁L l zF
temp-	▁L l zF
tempco	▁L l zF w D
tempe	▁L l zF u
temper	▁L l zF o
temperament	▁L l zF fG fz tAL
temperate	▁L l zF fG tL
temperature	▁L l zF fG f i o
temperature's	▁L l zF fG f i oS
temperatures	▁L l zF fG f i oS
tempered	▁L l zF oj
tempering	▁L l zF fG tB
tempers	▁L l zF oS
template	▁L l zF x pL
temple	▁L l zF fx
temples	▁L l zF fx S
tempo	▁L l zF D
temporally	▁L l zF G fxu
temporaries	▁L l zF fG lGu S
temporarily	▁L l zF fG lG fxu
temporary	▁L l zF fG lGu
tempt	▁L l zF L
temptation	▁L l zF L pItA
temptation's	▁L l zF L pItA S
tempted	▁L l zF L tj
tempting	▁L l zF L tB
ten	▁L lA
ten's	▁L lA S
ten-	▁L lA
tenacious	▁L tA p I tH
tenacity	▁L tA bH tLu
tenant	▁L lA tAL
tenants	▁L lA tAL H
tend	▁L lAj
tend-	▁L lAj
tended	▁L lAj tj
tendenc-	▁L lAj tAH
tendencies	▁L lAj tAH uS
tendency	▁L lAj tAH u
tender	▁L lAj o
tenderhearted	▁L lAj o s aGL tj
tenderloin	▁L lAj o x E A
tending	▁L lAj tB
tends	▁L lAj S
tenement	▁L lA fz tAL
tenfold	▁L lA q D xj
tenkiller	▁L lA w tx o
tennant	▁L lA tAL
tennessee	▁L lA tH u
tennessee's	▁L lA tH uS
tennis	▁L lA tH
tenor	▁L lA o
tens	▁L lA S
tense	▁L lA H
tensing	▁L lA H tB
tension	▁L lA ItA
tensioned	▁L lA I t Aj
tensions	▁L lA ItA S
tent	▁L lAL
tent's	▁L lAL H
tentatively	▁L lA tL tP xu
tenth	▁L lA M
tenths	▁L lA M H
tenting	▁L lAL tB
tents	▁L lAL H
tenuous	▁L lA RO fH
tenure	▁L lA R o
tenured	▁L lA R oj
tepid	▁L lF tj
tequila	▁Lf w ux f
ter	▁L o
ter-	▁L o
tercel	▁L oH lx
terence	▁L lG tAH
teresa	▁Lf Gu H f
teriyaki	▁L lGu R a w u
term	▁L o z
termed	▁L o z j
termi-	▁L o z t
terminal	▁L o z tA fx
terminally	▁L o z tA fxu
terminals	▁L o z tA fx S
terminate	▁L o z tA pL
terminated	▁L o z tA pL tj
terminating	▁L o z tA pL tB
termination	▁L o z tA pItA
terminator	▁L o z tA pL o
terming	▁L o z tB
terminology	▁L o z tA a x f v u
termites	▁L o z gL H
terms	▁L o zS
terr-	▁L lG
terr-	▁L lGu
terrace	▁L lG tH
terraced	▁L lG tHL
terrain	▁Lf G pA
terrains	▁Lf G pA S
terrance	▁L lG tAH
terre	▁L lG
terri-	▁L lG t
terrible	▁L lG t hfx
terribly	▁L lG t h xu
terrier	▁L lGu o
terriers	▁L lGu oS
terrif-	▁Lf G tq
terrific	▁Lf G tq tw
terrifically	▁Lf G tq tw xu
terrified	▁L lG tq gj
terrifies	▁L lG tq gS
terrify	▁L lG tq g
terrifying	▁L lG tq g tB
territorial	▁L lG tL DG u fx
territorialism	▁L lG tL DG u fx tS fz
territories	▁L lG tL DG uS
territory	▁L lG tL DG u
terror	▁L lG o
terrorism	▁L lG fG tS fz
terrorist	▁L lG fG tHL
terroristic	▁L lG fG tHL tw
terrorized	▁L lG fG gS j
terry	▁L lGu
tervurien	▁L lG P O Gu tA
tes-	▁L lH
test	▁L lHL
test-	▁L lHL
testament	▁L lHL fz tAL
tested	▁L lHL tj
tester	▁L lHL o
testers	▁L lHL oS
testified	▁L lHL tq gj
testify	▁L lHL tq g
testifying	▁L lHL tq g tB
testimonies	▁L lHL tz D A uS
testimony	▁L lHL tz D A u
testing	▁L lHL tB
testings	▁L lHL tB S
testosterone	▁L lHL a HL fG D A
tests	▁L lHL H
testses	▁L lHL H lH
testy	▁L lHL u
teti	▁L lL u
teton	▁Lu L aA
tetons	▁Lu L aA S
tetris	▁L lL G tH
tex	▁L lwH
tex-	▁L lwH
tex-	▁L lw I
tex-mex	▁L lwH z lwH
texaco	▁L lwH f w D
texan	▁L lwH tA
texan's	▁L lwH tAH
texanized	▁L lwH tA gS j
texans	▁L lwH tA S
texans	▁L lw ItA S
texarkana	▁L lwH aG w bA f
texas	▁L lwH tH
texas's	▁L lwH tS
texasville	▁L lwH tH P tx
texin	▁L lwH tA
texins	▁L lwH tA S
texoma	▁L lwH D z f
text	▁L lw HL
textbook	▁L lw HL h Nw
textbooks	▁L lw HL h N wH
texteller	▁L lw HL lx o
textile	▁L lw HL fx
texts	▁L lw HL H
textural	▁L lwH i fG fx
texture	▁L lwH i o
textured	▁L lwH i oj
textures	▁L lwH i oS
th-	▁k
th-	▁M
tha-	▁k b
tha-	▁M b
thai	▁L g
thailand	▁L g x bAj
thais	▁L g H
than	▁kbA
thank	▁M b B w
thankful	▁M b B w q fx
thankfully	▁M b B w q fxu
thanking	▁M b B wtB
thanks	▁M b B wH
thanksgiving	▁M b B wH r tP tB
thanksgiving's	▁M b B wH r tP tB S
that	▁kbL
that'd	▁kbL tj
that'll	▁kbL fx
that's	▁kbLH
that-	▁kbL
thatch	▁M b i
thatched	▁M b i L
thatcher	▁M b i o
thatches	▁M b i tS
thaw	▁M d
thawed	▁M d j
thawing	▁M d tB
thaws	▁M d S
the	▁kc
the-	▁k l
the-	▁kp
the-	▁k u
theater	▁M u fL o
theaters	▁M u fL oS
theatre	▁M u fL o
theatres	▁M u fL oS
theatrics	▁M u bL G twH
theft	▁M l qL
thefts	▁M l qL H
thei-	▁kp
their	▁kpG
their's	▁kpGS
theirs	▁kpGS
theirself	▁kpG H lx q
theirselves	▁kpG H lx P S
thelma	▁M lx z f
them	▁k lz
them	▁lz
them's	▁k l zS
them's	▁lz S
them_1's	▁lz S
theme	▁M u z
themes	▁M u zS
themsel-	▁k lz H lx
themself	▁k lz H lx q
themselves	▁k lz H lx P S
then	▁klA
theodore	▁M u f j DG
theological	▁M u fx a v twfx
theology	▁M u a x f v u
theor-	▁M u fG
theoretical	▁M u fG lL twfx
theoretically	▁M u fG lL tw xu
theories	▁M u f Gu S
theorists	▁M u fG tHL H
theory	▁M u f Gu
therapeutic	▁M lG fF RO L tw
therapeutically	▁M lG fF RO L tw xu
therapist	▁M lG fF tHL
therapy	▁M lG fF u
there	▁kpG
there'd	▁kpG j
there'll	▁kpG fx
there're	▁kpG o
there's	▁kpGS
there've	▁kpG f P
there-	▁kpG
thereabouts	▁kpG fh eL H
thereafter	▁kpG b qL o
thereby	▁kpG h g
therefore	▁kpG qDG
therein	▁kpG tA
thereof	▁kpG c P
thermal	▁M o z fx
thermostat	▁M o z f HL bL
thes-	▁M u H
thesaurus	▁M fH DG tH
these	▁kuS
thesis	▁M u H tH
they	▁kp
they'-	▁kp
they'd	▁kp j
they'll	▁kp x
they're	▁kpG
they's	▁kp S
they've	▁kp P
they-	▁kp
thi-	▁k t
thi-	▁M t
thiakol	▁M g f w dx
thick	▁M tw
thicken	▁M tw fA
thickened	▁M tw fAj
thickening	▁M tw fA tB
thickens	▁M tw fA S
thicker	▁M tw o
thickness	▁M tw A tH
thie-	▁M u
thief	▁M u q
thieves	▁M u P S
thieving	▁M u P tB
thighs	▁M gS
thin	▁M tA
thin-	▁M tA
thin-	▁MtB
thing	▁MtB
thing's	▁MtBS
thing-	▁MtB
things	▁MtBS
thingy	▁MtB u
think	▁MtBw
think'll	▁MtBw fx
think's	▁MtBw H
think-	▁MtBw
thinki-	▁MtBw t
thinking	▁MtBw tB
thinkings	▁MtBw tB S
thinks	▁MtBw H
thinner	▁M tA o
thinness	▁M tA A tH
thir-	▁M o
third	▁M oj
thirdly	▁L oj xu
thirds	▁M oj S
thirst	▁M o HL
thirsty	▁M o HL u
thirteen	▁M oL uA
thirteenth	▁M oL uA M
thirties	▁M oL uS
thirtieth	▁M oL u t M
thirty	▁M oL u
thirtysomething	▁M oL u H cz MtB
this	▁ktH
this'd	▁ktH tj
this'll	▁ktH fx
thisselves	▁ktH H lx P S
thistles	▁M tH fx S
tho-	▁k D
thomas	▁L a z fH
thomases	▁L a z fH tS
thompson	▁L a zF H tA
thompson's	▁L a zF H tA S
thor-	▁M o G
thoreau's	▁M fG DS
thorn	▁M DG A
thornburg	▁M DG A ho r
thorne	▁M DG A
thorns	▁M DG A S
thorough	▁M o G D
thoroughbred	▁M o G fh G lj
thoroughbreds	▁M o G fh G lj S
thoroughfare	▁M o G f q pG
thoroughly	▁M o G fxu
thoroughly	▁M o G xu
thoroughness	▁M o G fA tH
those	▁kDS
thou	▁M e
thou-	▁M e
though	▁k D
though-	▁M d
thought	▁M dL
thoughtful	▁M dL q fx
thoughts	▁M dL H
thousand	▁M e S t Aj
thousand's	▁M e T t Aj S
thousands	▁M e S t Aj S
thousands	▁M e S tA S
thousandth	▁M e S t Aj M
thousandths	▁M e S t Aj M H
thown	▁M eA
thr-	▁MG
thrash	▁MG b I
thrashed	▁MG b I L
thrashes	▁MG b I tS
thread	▁MG lj
threads	▁MG lj S
threat	▁MG lL
threaten	▁MG lL n
threatened	▁MG lL n j
threatening	▁MG lL tA tB
threateningly	▁MG lL tA tB xu
threatens	▁MG lL n S
threats	▁MG lL H
three	▁MGu
three's	▁MGu S
three-dayers	▁MGu j p oH
three-quarter	▁MGu w Q DGL o
three-quarters	▁MGu w Q DGL oS
threes	▁MGu S
threesome	▁MGu H fz
threshold	▁MG l I s D xj
threw	▁MG O
thrice	▁MG g H
thrift	▁MG tq L
thrifty	▁MG tq L u
thrill	▁MG tx
thrilled	▁MG txj
thriller	▁MG tx o
thrillers	▁MG tx oS
thrilling	▁MG tx tB
thrills	▁MG tx S
thrive	▁MG g P
thrives	▁MG g P S
thriving	▁MG g P tB
throat	▁MG DL
throat's	▁MG DL H
throats	▁MG DL H
throb	▁MG ah
throbbing	▁MG ah tB
throes	▁MG DS
through	▁MG O
throughout	▁MG O eL
throughs	▁MG O S
throw	▁MG D
throw-	▁MG D
throwaway	▁MG D f Qp
throwback	▁MG D h b w
throwed	▁MG D j
throwing	▁MG D tB
thrown	▁MG D A
throws	▁MG DS
thrugs	▁MG c rS
thrust	▁MG cHL
thug	▁M c r
thugs	▁M c rS
thumb	▁M cz
thumb's	▁M cz S
thumbing	▁M cz tB
thumbnail	▁M cz A p x
thumbs	▁M cz S
thump	▁M cz F
thumper	▁M cz F o
thunder	▁M c Ajo
thunderbird	▁M c Ajo h oj
thunderbirds	▁M c Ajo h oj S
thunders	▁M c Aj oS
thunderstorm	▁M c Ajo HL DG z
thunderstormed	▁M c Ajo HL DG z j
thunderstorms	▁M c Ajo HL DG zS
thurber	▁M o ho
thuringiansis	▁M O G tA v u aA H tH
thurow's	▁M fG DS
thurs-	▁M oS
thursd-	▁M oS j
thursday	▁M oS j p
thursday's	▁M oS j pS
thursdays	▁M oS j pS
thus	▁kc H
thwart	▁M Q DGL
thwarted	▁M Q DGL tj
thyme	▁Lgz
ti'er	▁Lu g o
ti-	▁L g
ti-	▁L t
tia's	▁Lu f S
tiacref	▁Lu f w G l q
tiana	▁Lu aA f
tiananmen	▁Lu aA fz lA
tibbar	▁L t h aG
tibby	▁L t hu
tic	▁L tw
tick	▁L tw
tick-	▁L tw
ticked	▁L tw L
ticker	▁L tw o
ticket	▁L tw tL
ticketed	▁L tw tL tj
tickets	▁L tw tLH
ticking	▁L tw tB
tickle	▁L twfx
tickled	▁L twfx j
ticks	▁L twH
tidbit	▁L tj h tL
tidbits	▁L tj h tLH
tiddlywinks	▁L tj xu Q tB wH
tide	▁L gj
tides	▁L gj S
tidings	▁L gj tB S
tie	▁L g
tie-	▁L g
tie-dyed	▁L gj gj
tied	▁L gj
tieish	▁L g tI
tier	▁Lu g o
tier	▁L uG
tier's	▁Lu g oS
tiered	▁L uG j
tiers	▁Lu g oS
tiers	▁L uG S
ties	▁L gS
tiff	▁L tq
tiff-	▁L tq
tiffany	▁L tq fA u
tiffany's	▁L tq fA uS
tiger	▁L g r o
tigers	▁L g r oS
tigh-	▁L g
tight	▁L gL
tighten	▁L gL n
tightened	▁L gL n j
tightening	▁L gL tA tB
tighter	▁L gL o
tightly	▁L gL xu
tights	▁L gL H
tigon	▁L g r aA
til	▁L tx
tile	▁L g x
tiles	▁L g x S
tiling	▁L g x tB
till	▁L tx
tillable	▁L tx fh fx
tilled	▁L txj
tiller	▁L tx o
tilling	▁L tx tB
tilt	▁L tx L
tilted	▁L tx L tj
tim	▁L tz
timber	▁L tz ho
timbuktu	▁L tz h f wL O
time	▁Lgz
time's	▁Lgz S
time-	▁Lgz
timed	▁Lgz j
timely	▁Lgz xu
timer	▁Lgz o
timers	▁Lgz oS
times	▁Lgz S
timid	▁L tz tj
timing	▁Lgz tB
timothy	▁L tz f M u
tin	▁L tA
tin-	▁L g A
tina	▁L uA f
tinge	▁L tA v
tingling	▁L tB r fx tB
tiniest	▁L g A u tHL
tinker	▁L tB w o
tinkerer	▁L tB w fG o
tinkering	▁L tB w fG tB
tinman	▁L tA z bA
tinny	▁L tA u
tinsel	▁L tAH fx
tinted	▁L tAL tj
tints	▁L tAL H
tiny	▁L g A u
tip	▁L tF
tipped	▁L tF L
tippers	▁L tF oS
tipping	▁L tF tB
tips	▁L tF H
tire	▁L gG
tire-	▁L gG
tired	▁L gG j
tireder	▁L gG j o
tires	▁L gG S
tiring	▁L gG tB
tissue	▁L tH RO
tit	▁L tL
tithe	▁L g k
tithing	▁L g k tB
title	▁L gL m
titles	▁L gL m S
tizzy	▁L tS u
tn-	▁Lu lA
to	▁Lf
to've	▁LO P
to-	▁L
to-	▁L a
to-	▁L e
to-	▁Lf
to-	▁L D
toast	▁L DHL
toasted	▁L DHL tj
toaster	▁L DHL o
toasts	▁L DHL H
toasty	▁L DHL u
tobacco	▁Lf h b w D
tobias	▁Lf h g fH
tobogganing	▁Lf h a r fA tB
toboggans	▁Lf h a r fA S
toby	▁L D hu
toc	▁L a w
tod-	▁Lf j
today	▁Lf j p
today's	▁Lf j pS
todd	▁L a j
toddler	▁L a j x o
toddlers	▁L a j x oS
toddling	▁L a j fx tB
toe	▁L D
toehold	▁L D s D xj
toes	▁L DS
toffee	▁Ld q u
tofu	▁L D q O
tog-	▁Lf r
toge-	▁Lf r l
togeth-	▁Lf r l k
together	▁Lf r l ko
togethers	▁Lf r l ko S
toggle	▁L a r fx
toil	▁L E x
toilet	▁L E x tL
toilets	▁L E x tLH
token	▁L D w tA
tokens	▁L D w tA S
tokyo	▁L D w u D
tol-	▁L a x
tol-	▁L D x
told	▁L D xj
tole	▁L D x
toledo	▁L fxu j D
tolerable	▁L a x fG fh fx
tolerance	▁L a x fG tAH
tolerances	▁L a x fG tAH tS
tolerant	▁L a x fG tAL
tolerate	▁L a x fG pL
tolerated	▁L a x fG pL tj
tolerates	▁L a x fG pL H
tolerating	▁L a x fG pL tB
tolkien	▁L D x w tA
toll	▁L D x
tollbooth	▁L D x h O M
tolls	▁L D x S
tollway	▁L D x Qp
toluene	▁L D x O uA
tom	▁L a z
tom's	▁L a zS
toma-	▁Lf z a
tomato	▁Lf z aL D
tomatoes	▁Lf z aL DS
tombstone	▁LO z HL D A
tomcats	▁L a z w bL H
tomczak	▁L a z i b w
tommy	▁L a z u
tomo-	▁Lf z a
tomorr-	▁Lf z aG
tomorrow	▁Lf z aG D
tomorrow's	▁Lf z aG DS
ton	▁L cA
tone	▁L D A
toned	▁L D Aj
tones	▁L D A S
tongs	▁L dB S
tongue	▁L c B
tonic	▁L aA tw
tonight	▁Lf A gL
tonight's	▁Lf A gL H
toning	▁L D A tB
tonkin	▁L a B w tA
tonnage	▁L cA tv
tons	▁L cA S
tony	▁L D A u
tonya	▁L aA R f
too	▁LO
too-	▁L N
too-	▁LO
toof-	▁LO q
took	▁L Nw
tooken	▁L Nw fA
tool	▁LO x
tooling	▁LO x tB
toolroom	▁LO x G O z
tools	▁LO x S
toot	▁LO L
tooth	▁LO M
toothbrush	▁LO M h G c I
toothpick	▁LO M F tw
toothpicks	▁LO M F twH
toots	▁LO L H
top	▁L aF
top-	▁L aF
top-	▁L D F
top-heavy	▁L aF s lP u
topaz	▁L D F b S
topazes	▁L D F b S tS
topeka	▁Lf F u w f
topic	▁L aF tw
topic's	▁L aF twH
topical	▁L aF twfx
topics	▁L aF twH
topography	▁Lf F a r G f q u
topped	▁L aF L
toppers	▁L aF oS
topping	▁L aF tB
toppings	▁L aF tB S
toppling	▁L aF fx tB
tops	▁L aF H
topsoil	▁L aF H E x
topsy	▁L aF H u
topsy-turvy	▁L aF H u L o P u
tor-	▁L DG
tore	▁L DG
torito's	▁Lf Gu L DS
torn	▁L DG A
torn-	▁L oA
tornado	▁L oA p j D
tornadoes	▁L oA p j DS
tornados	▁L oA p j DS
toronto	▁Lf G a AL D
toronto's	▁Lf G a AL DS
torpedo	▁L DG F u j D
torpedoed	▁L DG F u j D j
torque	▁L DG w
torrential	▁Lf G lA I fx
torrents	▁L DG tAL H
tort	▁L DGL
tort-	▁L DG i
tortilla	▁L DGL u f
tortillas	▁L DGL u f S
tortoise	▁L DGL tH
tortola	▁L DGL D x f
tortolla	▁L DGL D x f S
tortula	▁L DGL Ox f
torture	▁L DG i o
tortured	▁L DG i oj
torturistic	▁L DG i fG tHL tw
toss	▁Ld H
tossed	▁Ld HL
tossing	▁Ld H tB
tot	▁L aL
tot-	▁L DL
total	▁L DL fx
totaled	▁L DL fx j
totaling	▁L DL fx tB
totalitarian	▁L DL bx tL lGu tA
totality	▁L DL bx tLu
totally	▁L DL fxu
totals	▁L DL fx S
tote	▁L DL
totem	▁L DL fz
toting	▁L DL tB
tou-	▁L c
touch	▁L c i
touchdown	▁L c i j eA
touchdowns	▁L c i j eA S
touche	▁LO I p
touched	▁L c i L
touches	▁L c i tS
touching	▁L c i tB
touchtone	▁L c i L D A
touchy	▁L c i u
touchy-feely	▁L c i u q u xu
tough	▁L cq
toughen	▁L cq fA
tougher	▁L cq o
toughest	▁L cq tHL
toundar	▁L D Aj fG
tour	▁LO G
toured	▁LO G j
touring	▁LO G tB
tourism	▁LO G tS fz
tourist	▁LO G tHL
touristing	▁LO G tHL tB
tourists	▁LO G tHL H
touristy	▁LO G tHL u
tournament	▁L oA fz tAL
tournament's	▁L oA fz tAL H
tournaments	▁L oA fz tAL H
tours	▁LO G S
touted	▁L eL tj
touting	▁L eL tB
tow	▁L D
tow-	▁L e
tow-	▁Lf Q
towar-	▁Lf Q DG
toward	▁Lf Q DG j
toward	▁LQ DG j
towards	▁Lf Q DG j S
towards	▁LQ DG j S
towed	▁L D j
towel	▁L e x
toweling	▁L e x tB
towels	▁L e x S
tower	▁L eo
towered	▁L eo j
towering	▁L eo tB
towers	▁L e oS
towing	▁L D tB
town	▁L eA
town'd	▁L eAj
town's	▁L eA S
towncar	▁L eA w aG
towners	▁L eA oS
townhouse	▁L eA s e H
townhouses	▁L eA s e H tS
towns	▁L eA S
townsend	▁L eA S t Aj
township	▁L eA I tF
tows	▁L DS
toxic	▁L a wH tw
toxicity	▁L a wH tH tLu
toxicologist	▁L a wH tw a x f v tHL
toxicology	▁L a wH tw a x f v u
toxics	▁L a wH twH
toxin	▁L a wH tA
toxins	▁L a wH tA S
toy	▁L E
toying	▁L E tB
toyo-	▁L E D
toyota	▁L E DL f
toyota's	▁L E DL f S
toyotas	▁L E DL f S
toys	▁L E S
tr-	▁LG
tra-	▁LG b
tra-	▁LG f
tra-	▁LG p
trace	▁LG pH
traceable	▁LG pH fh fx
traced	▁LG p HL
tracer	▁LG pH o
tracers	▁LG pH oS
tracing	▁LG pH tB
track	▁LG b w
tracked	▁LG bwL
tracker	▁LG b w o
tracking	▁LG b wtB
tracks	▁LG b wH
tract	▁LG bwL
tractable	▁LG bwL fh fx
traction	▁LG b w ItA
tractor	▁LG bwL o
tractors	▁LG bwL oS
tracts	▁LG b wH
tracy	▁LG pH u
tracy'd	▁LG pH u j
trad-	▁LG p j
trade	▁LG p j
trade-in	▁LG p j tA
trade-off	▁LG p j d q
trade-offs	▁LG p j a q H
traded	▁LG p j tj
trades	▁LG p j S
trading	▁LG p j tB
tradition	▁LG f j t ItA
traditional	▁LG f j t ItA fx
traditionally	▁LG f j t ItA fxu
traditions	▁LG f j t ItA S
traffi-	▁LG b q t
traffic	▁LG b q tw
traffic's	▁LG b q
trafficking	▁LG b q tw tB
tragedies	▁LG b v tj uS
tragedy	▁LG b v tj u
tragic	▁LG b v tw
trail	▁LG p x
trailed	▁LG p xj
trailer	▁LG p x o
trailers	▁LG p x oS
trailing	▁LG p x tB
trails	▁LG p x S
train	▁LG pA
train-	▁LG pA
trainable	▁LG pA fh fx
trained	▁LG p Aj
trainer	▁LG pA o
trainers	▁LG pA oS
training	▁LG pA tB
trainings	▁LG pA tB S
trains	▁LG pA S
trait	▁LG pL
traitorous	▁LG pL fG tH
traits	▁LG pL H
tramane	▁LG fz pA
tramp-	▁LG b zF
trampling	▁LG b zF x tB
trampoline	▁LG b zF fxu A
tran-	▁LG bA
tranged	▁LG pAv j
trans	▁LG bA S
trans-	▁LG bA H
transaction	▁LG bA S b w ItA
transactions	▁LG bA S b w ItA S
transam	▁LG bA S b z
transatlantic	▁LG bA S bL x b AL tw
transcend	▁LG bA H lAj
transcontinental	▁LG bA H w a AL tA lAL fx
transcribe	▁LG bA H w G g h
transcribers	▁LG bA H w G g h oS
transcribes	▁LG bA H w G g h S
transcribing	▁LG bA H w G g h tB
transcript	▁LG bA H w G tF L
transcripts	▁LG bA H w G tF L H
transducers	▁LG bA S j O H oS
transfer	▁LG bA H q o
transfered	▁LG bA H q oj
transferred	▁LG bA H q oj
transferring	▁LG bA H q o G tB
transfers	▁LG bA H q oS
transform	▁LG bA H qDG z
transformation	▁LG bA H q o z pItA
transformed	▁LG bA H qDG z j
transformers	▁LG bA H qDG z oS
transforms	▁LG bA H qDG zS
transfusion	▁LG bA H q RO T tA
transfusions	▁LG bA H q RO T tA S
transgressions	▁LG bA S r G l ItA S
transgressor	▁LG bA S r G lH o
transient	▁LG bA S u tAL
transients	▁LG bA S u tAL H
transistor	▁LG bA S tHL o
transistors	▁LG bA S tHL oS
transit	▁LG bA H tL
transition	▁LG bA S t ItA
transitional	▁LG bA S t ItA fx
transitioning	▁LG bA S t ItA tB
translate	▁LG bA H x pL
translated	▁LG bA H x pL tj
translates	▁LG bA H x pL H
translating	▁LG bA H x pL tB
translation	▁LG bA H x pItA
translations	▁LG bA H x pItA S
translator	▁LG bA H x pL o
translators	▁LG bA H x pL oS
transmission	▁LG bA H z t ItA
transmission's	▁LG bA S z t ItA S
transmissions	▁LG bA H z t ItA S
transmit	▁LG bA H z tL
transmits	▁LG bA H z tLH
transmitted	▁LG bA H z tL tj
transmitter	▁LG bA H z tL o
transmitters	▁LG bA H z tL oS
transmitting	▁LG bA H z tL tB
transparencies	▁LG bA H F b G tAH uS
transparency	▁LG bA H F b G tAH u
transpired	▁LG bA H F gG j
transplant	▁LG bA H F x b AL
transplanted	▁LG bA H F x b AL tj
transplanting	▁LG bA H F x b AL tB
transplants	▁LG bA H F x b AL H
transport	▁LG bA H F DGL
transportation	▁LG bA H F oL pItA
transportations	▁LG bA H F oL pItA S
transported	▁LG bA H F DGL tj
transporting	▁LG bA H F DGL tB
transpose	▁LG bA H F DS
transverse	▁LG bA S Po H
transvestite	▁LG bA S P lHL gL
trap	▁LG b F
trapeze	▁LG fF uS
trapped	▁LG b F L
trappers	▁LG b F oS
trapping	▁LG b F tB
traps	▁LG b F H
trash	▁LG b I
trashed	▁LG b I L
trashes	▁LG b I tS
trashing	▁LG b I tB
trashmore	▁LG b I z DG
trashy	▁LG b I u
trauma	▁LG d z f
traumas	▁LG d z f S
traumatic	▁LG d z bL tw
traumatized	▁LG d z fL gS j
traumatizing	▁LG d z fL gS tB
travel	▁LG b P fx
traveled	▁LG b P fx j
traveler	▁LG b P fx o
traveler's	▁LG b P fx oS
traveling	▁LG b P fx tB
travels	▁LG b P fx S
travesty	▁LG b P tHL u
travis	▁LG b P tH
travolta	▁LG f P D x L f
trax	▁LG b wH
tray	▁LG p
trays	▁LG pS
treacherous	▁LG l i fG tH
tread	▁LG lj
treadmill	▁LG lj z tx
treadmills	▁LG lj z tx S
treason	▁L Gu S tA
treasure	▁LG l T o
treasurer	▁LG l T fG o
treasures	▁LG l T oS
treasury	▁LG l T f Gu
treat	▁L Gu L
treat-	▁L Gu L
treated	▁L Gu L tj
treaties	▁L Gu L uS
treating	▁L Gu L tB
treatment	▁L Gu L ztAL
treatments	▁L Gu L ztAL H
treats	▁L Gu L H
treaty	▁L Gu L u
treble	▁LG l hfx
tree	▁L Gu
tree's	▁L Gu S
treed	▁L Gu j
trees	▁L Gu S
trek	▁LG lw
trek's	▁LG lwH
trekkie	▁LG lw u
trekkies	▁LG lw uS
treks	▁LG lwH
trelve	▁LG lx P
trembled	▁LG lz hfx j
trembling	▁LG lz h x tB
tremen-	▁LG fz lA
tremend-	▁LG fz lAj
tremendous	▁LG fz lAj tH
tremendously	▁LG fz lAj tH xu
tremors	▁LG lz oS
trench	▁LG lA i
trencher	▁LG lA i o
trenches	▁LG lA i tS
trend	▁LG lAj
trend's	▁LG lAj S
trends	▁LG lAj S
trendsetters	▁LG lAj H lL oH
trendy	▁LG lAj u
trent	▁LG lAL
trenton	▁LG lAL fA
trespass	▁LG lH F bH
trest	▁LG lHL
tresting	▁LG lHL tB
trests	▁LG lHL H
trevino	▁LG f P uA D
trew	▁LGO
tri-	▁LGg
tri-	▁L Gu
triad	▁LGg b j
trial	▁LGg x
trialed	▁LGg xj
trials	▁LGg x S
triangle	▁LGg b B r fx
triangular	▁LGg b B r R fx o
tribal	▁LGg hfx
tribe	▁LGg h
tribes	▁LGg h S
tribunal	▁LGg h RO A fx
tribune	▁LG t h RO A
tribute	▁LG t h RO L
tricep	▁LGg H lF
trick	▁LG tw
trick-or-treaters	▁LG tw DGL Gu L oS
tricked	▁LG tw L
trickle	▁LG twfx
trickled	▁LG twfx j
trickles	▁LG twfx S
trickling	▁LG twfx tB
tricks	▁LG twH
tricky	▁LG tw u
